Date,X Coordinate,Y Coordinate
01/03/2021 13:23,1174496,1858251
01/03/2021 06:59,1176011,1851718
01/03/2021 00:20,1138722,1900183
01/03/2021 08:54,1194343,1834995
01/03/2021 16:30,1167677,1895707
01/03/2021 22:30,1165620,1941643
01/03/2021 21:25,1152976,1886496
01/03/2021 05:45,1153479,1919498
01/03/2021 03:20,,
01/03/2021 14:30,1144303,1896901
01/03/2021 18:00,,
01/02/2021 11:00,1160154,1837249
01/03/2021 10:11,1177624,1853795
01/03/2021 04:21,1175711,1908536
01/03/2021 19:15,1167861,1846757
01/01/2021 13:50,1184011,1818293
01/01/2021 16:00,1150799,1897748
01/01/2021 17:20,1172812,1872729
01/01/2021 02:00,1169068,1892901
01/01/2021 09:20,,
01/01/2021 20:15,1175628,1885369
01/03/2021 03:00,,
01/02/2021 08:50,1180834,1874641
01/02/2021 15:30,1180134,1824770
01/02/2021 19:00,1176273,1904005
01/02/2021 12:45,1202846,1834426
01/02/2021 17:17,1146876,1899295
01/02/2021 09:00,1165970,1903575
01/02/2021 14:00,1152974,1891569
01/01/2021 15:50,1162062,1867870
01/02/2021 00:05,,
01/03/2021 05:12,1156131,1862906
01/03/2021 22:47,1161313,1873363
01/03/2021 22:10,,
01/03/2021 16:34,,
02/02/2021 11:30,1146871,1900128
02/02/2021 00:00,1143704,1911529
02/02/2021 10:30,1168178,1859333
02/02/2021 12:01,1177003,1905748
02/02/2021 07:00,1146871,1900128
01/03/2021 13:55,1180150,1857738
01/03/2021 16:00,1166342,1948785
01/04/2021 14:10,1144397,1941466
01/04/2021 11:18,1167294,1937509
02/02/2021 13:13,1167450,1945788
01/04/2021 06:30,,
01/04/2021 09:50,,
01/04/2021 12:55,1197281,1847645
01/04/2021 20:35,,
01/04/2021 07:47,,
01/02/2021 16:00,,
01/04/2021 17:45,,
01/04/2021 12:00,,
02/02/2021 12:30,1174758,1912049
02/02/2021 14:20,1135476,1910969
02/02/2021 09:00,1152121,1836480
01/05/2021 12:34,1159889,1859177
