Date,X Coordinate,Y Coordinate
01/25/2021 12:00:00 AM,1172804,1836294
04/01/2021 12:00,1155564,1929952
03/31/2021 02:00:00 PM,1164456,1903534
04/06/2021 09:00,1129215,1940920
04/14/2021 06:59:00 PM,1171006,1901752
04/14/2021 05:00:00 AM,1184332,1850510
04/14/2021 04:15:00 PM,1149506,1899355
04/14/2021 01:00:00 AM,1195862,1821766
04/14/2021 03:38:00 PM,1188352,1872195
04/14/2021 03:00:00 PM,1196545,1846914
04/14/2021 11:00:00 AM,1168149,1872578
03/25/2021 12:01:00 AM,1144207,1898894
04/14/2021 09:00:00 AM,1150029,1889979
04/14/2021 09:56:00 AM,1166018,1851643
04/14/2021 03:27:00 AM,1178100,1868316
04/14/2021 02:50:00 PM,1146227,1901075
04/14/2021 12:00:00 PM,1175000,1876652
04/04/2021 12:00,1160375,1901312
04/09/2021 14:30,1138537,1905065
04/14/2021 07:15:00 PM,1164789,1938107
04/14/2021 12:42:00 PM,1175947,1832975
04/12/2021 18:00,1163899,1944233
04/14/2021 01:50:00 PM,1191823,1856785
04/14/2021 11:50:00 PM,1133673,1920602
04/14/2021 07:20:00 PM,1151097,1908124
04/14/2021 05:00:00 AM,1154120,1904470
04/14/2021 02:00:00 AM,1166833,1860055
04/14/2021 10:04:00 AM,1169860,1863686
04/14/2021 03:10:00 AM,1141892,1914811
03/30/2021 03:00:00 PM,1159015,1948030
04/14/2021 11:00:00 PM,1164527,1890107
04/14/2021 10:50:00 AM,1158775,1886864
03/29/2021 12:00:00 AM,1165790,1873896
04/14/2021 02:30:00 PM,1164792,1950994
01/13/2021 09:00:00 AM,1150426,1936949
04/14/2021 12:37:00 PM,1202269,1835278
04/14/2021 06:40:00 PM,1139502,1899801
04/14/2021 01:49:00 PM,1179658,1873725
04/07/2021 00:00,1162895,1906432
04/14/2021 05:44:00 PM,1174442,1864482
04/14/2021 05:15:00 PM,1153099,1923246
04/14/2021 06:30:00 PM,1167287,1901143
04/14/2021 10:30:00 AM,1185776,1858186
04/14/2021 08:00:00 PM,1187484,1865036
04/14/2021 06:10:00 AM,1169809,1905073
04/14/2021 08:20:00 AM,1174040,1862760
03/24/2021 01:00:00 PM,1147779,1862826
04/14/2021 02:20:00 PM,1181418,1859783
04/14/2021 09:40:00 AM,1199293,1849013
04/14/2021 06:00:00 PM,1158865,1926482
04/13/2021 12:00:00 AM,1174476,1841895
04/14/2021 12:28:00 PM,1178868,1828958
04/14/2021 11:00:00 AM,1177762,1841949
04/14/2021 09:45:00 PM,1173087,1827362
04/08/2021 00:00,1174064,1823313
04/04/2021 09:00,1167745,1940988
04/14/2021 11:00:00 AM,1175248,1867553
03/20/2021 12:00:00 PM,1158422,1851911
04/14/2021 04:01:00 PM,1197282,1849656
04/14/2021 12:00:00 PM,1178222,1903964
04/14/2021 08:00:00 AM,1164411,1875951
04/14/2021 08:00:00 PM,1175234,1832324
04/14/2021 09:55:00 PM,1167135,1873276
04/14/2021 06:12:00 PM,1176262,1904268
04/14/2021 01:30:00 PM,1142024,1904845
04/14/2021 04:00:00 PM,1137241,1931337
04/05/2021 12:00,1145510,1872089
04/14/2021 09:00:00 AM,1178915,1904276
04/14/2021 07:00:00 AM,1186307,1857862
04/12/2021 00:00,1171189,1858198
04/14/2021 06:45:00 PM,1139768,1910101
04/14/2021 12:00:00 AM,1156017,1925980
04/08/2021 17:00,1126750,1923927
04/14/2021 10:30:00 AM,1175655,1843944
04/14/2021 07:13:00 PM,1176739,1905742
04/14/2021 11:30:00 PM,1140911,1898155
04/14/2021 09:00:00 PM,1148931,1929085
04/14/2021 11:00:00 AM,1148886,1899341
04/14/2021 03:15:00 PM,1162172,1826652
04/14/2021 08:00:00 AM,1167370,1934861
04/13/2021 02:10:00 PM,1176392,1887351
04/13/2021 01:26:00 PM,1167487,1849688
04/14/2021 04:23:00 PM,1187319,1850026
04/14/2021 03:15:00 PM,1159047,1946472
04/14/2021 05:20:00 PM,1183417,1873664
04/14/2021 12:00:00 PM,1167505,1833579
04/14/2021 09:47:00 AM,1161037,1877895
04/06/2021 15:05,1167081,1890187
04/06/2021 12:00,1142819,1901475
04/14/2021 08:00:00 PM,1194618,1842457
04/14/2021 03:12:00 PM,1163205,1895470
04/07/2021 12:00,1197972,1845207
04/09/2021 20:00,1178664,1902455
04/14/2021 04:00:00 AM,1177769,1864388
04/14/2021 09:00:00 AM,1166875,1854318
04/14/2021 05:08:00 AM,1152935,1928827
04/14/2021 02:30:00 AM,1170187,1900728
04/14/2021 10:49:00 AM,1152789,1912405
04/14/2021 01:36:00 PM,1156456,1934411
04/14/2021 11:00:00 AM,1162781,1923250
04/14/2021 10:00:00 PM,1179949,1841124
04/14/2021 11:30:00 AM,1145803,1927232
04/14/2021 08:00:00 AM,1165472,1868216
04/14/2021 07:45:00 PM,1170790,1853763
04/14/2021 07:00:00 PM,1182443,1871589
04/14/2021 08:00:00 PM,1177063,1905749
04/14/2021 04:35:00 AM,1167282,1840410
02/10/2021 12:00,1157241,1918050
03/10/2021 16:30,1165456,1874031
04/14/2021 02:43:00 PM,1160295,1856512
04/13/2021 07:49:00 PM,1151833,1872837
04/14/2021 06:15:00 PM,1138671,1929727
04/14/2021 06:00:00 AM,1184331,1850524
04/14/2021 06:00:00 PM,1166664,1944950
04/13/2021 12:00:00 PM,1186922,1860191
04/14/2021 12:56:00 AM,1158483,1909469
04/14/2021 06:30:00 PM,1130543,1915206
04/14/2021 12:00:00 AM,1196911,1850143
04/14/2021 08:19:00 AM,1139904,1899485
04/04/2021 14:00,1164819,1868881
04/06/2021 11:13,1173863,1900534
04/14/2021 09:50:00 PM,1184330,1850557
02/01/2021 09:00,1126873,1919979
04/14/2021 10:40:00 AM,1195381,1850453
04/14/2021 12:00:00 AM,1169661,1853545
